"Paper #","Paper Name","Meeting","Status","First released version","GitHub issue","Notes"
"[P0463R1](https://wg21.link/P0463R1)","Endian just Endian","2017-07 (Toronto)","{{Complete}}","7","[#103999](https://github.com/llvm/llvm-project/issues/103999)",""
"[P0674R1](https://wg21.link/P0674R1)","Extending make_shared to Support Arrays","2017-07 (Toronto)","{{Complete}}","15","[#104000](https://github.com/llvm/llvm-project/issues/104000)",""
"","","","","","",""
"[P0020R6](https://wg21.link/P0020R6)","Floating Point Atomic","2017-11 (Albuquerque)","{{Complete}}","18","[#104001](https://github.com/llvm/llvm-project/issues/104001)","The feature-test macro was not set until LLVM 20."
"[P0053R7](https://wg21.link/P0053R7)","C++ Synchronized Buffered Ostream","2017-11 (Albuquerque)","{{Complete}}","18","[#104002](https://github.com/llvm/llvm-project/issues/104002)",""
"[P0202R3](https://wg21.link/P0202R3)","Add constexpr modifiers to functions in \<algorithm\> and \<utility\> Headers","2017-11 (Albuquerque)","{{Complete}}","12","[#104003](https://github.com/llvm/llvm-project/issues/104003)",""
"[P0415R1](https://wg21.link/P0415R1)","Constexpr for `std::complex` ","2017-11 (Albuquerque)","{{Complete}}","16","[#104004](https://github.com/llvm/llvm-project/issues/104004)",""
"[P0439R0](https://wg21.link/P0439R0)","Make `std::memory_order` a scoped enumeration","2017-11 (Albuquerque)","{{Complete}}","","[#104005](https://github.com/llvm/llvm-project/issues/104005)",""
"[P0457R2](https://wg21.link/P0457R2)","String Prefix and Suffix Checking","2017-11 (Albuquerque)","{{Complete}}","6","[#104006](https://github.com/llvm/llvm-project/issues/104006)",""
"[P0550R2](https://wg21.link/P0550R2)","Transformation Trait `remove_cvref` ","2017-11 (Albuquerque)","{{Complete}}","6","[#104007](https://github.com/llvm/llvm-project/issues/104007)",""
"[P0600R1](https://wg21.link/P0600R1)","nodiscard in the Library","2017-11 (Albuquerque)","{{Complete}}","16","[#104010](https://github.com/llvm/llvm-project/issues/104010)",""
"[P0616R0](https://wg21.link/P0616R0)","de-pessimize legacy \<numeric\> algorithms with std::move","2017-11 (Albuquerque)","{{Complete}}","12","[#104011](https://github.com/llvm/llvm-project/issues/104011)",""
"[P0653R2](https://wg21.link/P0653R2)","Utility to convert a pointer to a raw pointer","2017-11 (Albuquerque)","{{Complete}}","6","[#104012](https://github.com/llvm/llvm-project/issues/104012)",""
"[P0718R2](https://wg21.link/P0718R2)","Atomic shared_ptr","2017-11 (Albuquerque)","","","[#99980](https://github.com/llvm/llvm-project/issues/99980)",""
"[P0767R1](https://wg21.link/P0767R1)","Deprecate POD","2017-11 (Albuquerque)","{{Complete}}","21","[#104013](https://github.com/llvm/llvm-project/issues/104013)","It was previously erroneously marked as complete in LLVM 7."
"[P0768R1](https://wg21.link/P0768R1)","Library Support for the Spaceship (Comparison) Operator","2017-11 (Albuquerque)","{{Complete}}","","[#104014](https://github.com/llvm/llvm-project/issues/104014)",""
"[P0777R1](https://wg21.link/P0777R1)","Treating Unnecessary `decay` ","2017-11 (Albuquerque)","{{Complete}}","7","[#104016](https://github.com/llvm/llvm-project/issues/104016)",""
"","","","","","",""
"[P0122R7](https://wg21.link/P0122R7)","\<span\>","2018-03 (Jacksonville)","{{Complete}}","7","[#104017](https://github.com/llvm/llvm-project/issues/104017)",""
"[P0355R7](https://wg21.link/P0355R7)","Extending chrono to Calendars and Time Zones","2018-03 (Jacksonville)","{{Partial}}","","[#99982](https://github.com/llvm/llvm-project/issues/99982)","See the [Github issue](https://github.com/llvm/llvm-project/issues/99982) for detailed status"
"[P0551R3](https://wg21.link/P0551R3)","Thou Shalt Not Specialize `std` Function Templates!","2018-03 (Jacksonville)","{{Complete}}","11","[#104018](https://github.com/llvm/llvm-project/issues/104018)",""
"[P0753R2](https://wg21.link/P0753R2)","Manipulators for C++ Synchronized Buffered Ostream","2018-03 (Jacksonville)","","","[#99983](https://github.com/llvm/llvm-project/issues/99983)",""
"[P0754R2](https://wg21.link/P0754R2)","\<version\>","2018-03 (Jacksonville)","{{Complete}}","7","[#104021](https://github.com/llvm/llvm-project/issues/104021)",""
"[P0809R0](https://wg21.link/P0809R0)","Comparing Unordered Containers","2018-03 (Jacksonville)","{{NothingToDo}}","","[#104022](https://github.com/llvm/llvm-project/issues/104022)",""
"[P0858R0](https://wg21.link/P0858R0)","Constexpr iterator requirements","2018-03 (Jacksonville)","{{Complete}}","12","[#104024](https://github.com/llvm/llvm-project/issues/104024)",""
"[P0905R1](https://wg21.link/P0905R1)","Symmetry for spaceship","2018-03 (Jacksonville)","{{Complete}}","7","[#104025](https://github.com/llvm/llvm-project/issues/104025)",""
"[P0966R1](https://wg21.link/P0966R1)","`string::reserve` Should Not Shrink","2018-03 (Jacksonville)","{{Complete}}","12","[#104026](https://github.com/llvm/llvm-project/issues/104026)","It was previously erroneously marked as complete in version 8. See [bug 45368](https://llvm.org/PR45368)"
"","","","","","",""
"[P0019R8](https://wg21.link/P0019R8)","Atomic Ref","2018-06 (Rapperswil)","{{Complete}}","19","[#104028](https://github.com/llvm/llvm-project/issues/104028)",""
"[P0458R2](https://wg21.link/P0458R2)","Checking for Existence of an Element in Associative Containers","2018-06 (Rapperswil)","{{Complete}}","13","[#104029](https://github.com/llvm/llvm-project/issues/104029)",""
